,location_name,geocodes_location
1,中华门,"116.350808,39.906608"
2,天坛,"116.405005,39.881523"
3,东华门,"116.405177,39.914792"
4,午门,"116.502782,39.988875"
5,德胜门,"116.379611,39.949894"
6,人儿,null
7,南池子,"116.404126,39.911021"
8,后海,"116.393097,39.938880"
9,琉璃厂,"116.385089,39.895353"
10,首都剧场,"116.411955,39.921562"
11,故宫,null
12,西单,"116.374072,39.907383"
13,新街口,"116.371893,39.939147"
14,紫竹院,"116.307778,39.943669"
15,油画,null
16,六里桥,"116.310604,39.884675"
17,中关村,"116.315869,39.981125"
18,剪贴,null
19,彩墨,null
20,昌平,"116.229945,40.221459"
21,北京图书馆,"116.384739,39.923779"
22,月坛北街,"116.346402,39.917737"
23,邮,null
24,公主坟,"116.187855,39.804608"
25,知春亭,"116.279348,39.996696"
26,白石桥,"116.325280,39.941767"
27,打磨厂,"116.414396,39.899462"
28,丰台,"116.278193,39.848241"
29,太平湖,"116.364126,39.947112"
30,缘,null
31,东陵,null
32,平安里,"116.368242,39.931828"
33,虎坊桥,"116.384693,39.889494"
34,白塔寺,"116.363365,39.924848"
35,地坛,"116.413659,39.955389"
36,怀仁堂,null
37,石舫,"116.309903,39.994738"
38,钟楼,"116.320831,40.023180"
39,厢红旗,"116.276896,40.002340"
40,柳荫街,"116.384739,39.938048"
41,献花,null
42,建国门,"116.435979,39.908117"
43,甘家口,"116.327650,39.928303"
44,会城门,"116.329581,39.902919"
45,象来街,null
46,万泉寺,"116.335061,39.862079"
47,西市,null
48,豁口,"116.372667,39.947016"
49,府右街,"116.381710,39.915103"
50,将台路,"116.481489,39.978912"
51,遮月胡同,"116.423320,39.905766"
52,油漆座,"116.395050,39.932750"
